 ,Area,XM,YM
624,43,269.919,156.523
625,45,269.744,155.144
626,44,270.023,154.091
627,42,269.571,153.31
628,43,268.919,152.477
629,42,268.452,151.0
630,43,267.779,149.43
631,41,267.5,147.744
632,41,267.646,145.646
633,40,268.825,142.525
634,42,270.31,139.571
635,42,270.357,137.262
636,43,269.919,135.523
637,44,269.136,134.591
638,46,267.739,134.913
639,44,265.545,135.568
640,43,262.779,135.988
641,42,259.976,136.738
642,42,258.429,138.31
643,42,258.429,140.31
644,44,259.568,141.545
645,42,262.0,141.452
646,45,263.9,140.278
647,41,264.476,138.915
648,42,263.333,138.452
649,42,261.119,138.405
650,41,259.354,138.646
651,43,258.616,139.616
652,43,258.523,139.919
653,45,258.856,139.722
654,41,259.5,139.256
655,42,260.571,138.69
656,42,262.429,138.69
657,43,264.221,139.43
658,44,265.091,140.886
659,42,265.833,142.5
660,43,266.849,143.965
661,41,268.744,145.5
662,41,271.5,146.256
663,42,274.167,146.5
664,43,276.337,146.686
665,42,277.429,147.69
666,44,277.0,148.5
667,44,275.977,148.591
668,44,274.136,148.591
669,42,272.452,147.0
670,40,270.7,144.575
671,41,270.085,142.622
672,42,270.405,142.857
673,40,271.275,145.2
674,41,271.744,147.5
675,42,272.5,149.167
676,41,273.5,149.256
677,41,274.744,148.5
678,42,275.548,148.333
679,40,275.525,148.175
680,42,275.5,146.833
681,42,275.167,145.5
682,40,275.125,143.6
683,43,275.035,141.756
684,45,274.567,141.056
685,41,273.744,141.5
686,43,273.5,142.64
687,40,274.5,144.0
688,43,275.616,145.384
689,45,276.633,146.211
690,43,277.43,146.779
691,44,278.341,147.318
692,40,280.3,147.425
693,40,283.4,148.1
694,43,285.384,148.616
695,41,286.5,149.256
696,42,287.5,149.833
697,41,288.256,150.5
698,45,288.456,150.922
699,43,288.477,151.081
700,43,288.384,151.384
701,46,288.065,151.739
702,45,287.122,151.678
703,42,286.5,150.833
704,43,286.384,149.616
705,41,285.207,147.866
706,41,283.354,146.354
707,42,282.214,145.333
708,43,282.616,146.384
709,41,284.305,147.866
710,43,285.43,148.779
711,44,284.705,149.386
712,41,283.5,149.256
713,40,282.525,148.175
714,42,282.429,146.31
715,43,283.035,144.756
716,42,284.429,144.69
717,45,285.5,145.5
718,43,286.221,146.035
719,43,285.919,145.988
720,41,285.5,145.256
721,43,284.616,144.384
722,43,282.919,143.523
723,43,281.57,142.221
724,41,280.5,139.744
725,42,279.69,136.429
726,43,279.384,133.616
727,41,279.5,131.744
728,43,280.477,131.081
729,43,282.105,131.43
730,43,283.384,132.616
731,42,284.786,134.952
732,41,286.5,137.744
733,42,286.833,139.5
734,44,285.432,139.545
735,42,283.5,138.833
736,42,282.571,137.69
737,45,282.856,136.322
738,42,284.571,135.31
739,42,286.452,135.429
740,41,287.256,136.5
741,40,287.325,138.275
742,42,286.5,139.167
743,45,285.5,139.5
744,42,284.69,139.429
745,42,284.571,138.69
746,42,284.5,136.833
747,43,284.523,134.919
748,43,284.616,133.384
749,43,284.384,132.616
750,45,284.056,133.189
751,42,283.5,133.833
752,44,283.432,134.455
753,44,283.545,134.568
754,42,284.31,134.429
755,44,285.0,134.0
756,44,285.0,133.682
757,42,284.167,133.5
758,40,282.725,132.325
759,39,281.141,129.603
760,40,279.575,126.45
761,43,278.965,123.802
762,42,279.571,122.69
763,42,280.905,123.31
764,43,282.919,124.523
765,39,285.269,126.346
766,43,286.616,128.384
767,44,286.068,130.295
768,42,284.69,131.571
769,41,283.5,133.256
770,42,282.69,133.571
771,42,282.0,133.452
